WKT,Nombre,Descripción
"LINESTRING (-78.5040317 -0.1981979, -78.5039136 -0.1982135, -78.5038201 -0.198251, -78.5038545 -0.1984564, -78.5038089 -0.1985583, -78.5036121 -0.1987088, -78.5035102 -0.1986337, -78.5032702 -0.1985166, -78.5034424 -0.1984328, -78.5033593 -0.198182)",ruta_1,
"LINESTRING (-78.5040317 -0.1981979, -78.5039136 -0.1982135, -78.5038201 -0.198251, -78.5037991 -0.1981371, -78.5037724 -0.1979861, -78.5037482 -0.197836, -78.5037186 -0.1977804, -78.5035326 -0.1978368, -78.5034612 -0.1978608, -78.5034253 -0.1977805, -78.5032268 -0.1978877, -78.5032724 -0.1979816, -78.5032805 -0.1980272, -78.5033593 -0.198182)",ruta_2,
"LINESTRING (-78.5040317 -0.1981979, -78.5039136 -0.1982135, -78.5038201 -0.198251, -78.5038281 -0.1985193, -78.5038747 -0.198995, -78.5036047 -0.1986957, -78.5035102 -0.1986337, -78.5032702 -0.1985166, -78.5034424 -0.1984328, -78.5033593 -0.198182)",ruta_3,
"LINESTRING (-78.5040317 -0.1981979, -78.5039136 -0.1982135, -78.5038201 -0.198251, -78.5038118 -0.1981857, -78.5040395 -0.1980956, -78.5044941 -0.198002, -78.5044526 -0.1978381, -78.5043936 -0.1976637, -78.5041444 -0.1974106, -78.5037233 -0.1975125, -78.5033459 -0.1976187, -78.5031866 -0.1976718, -78.5032429 -0.1978059, -78.5032268 -0.1978877, -78.5032724 -0.1979816, -78.5032805 -0.1980272, -78.5033593 -0.198182)",ruta_4,
