WKT,name,description
"LINESTRING (-78.5039943 -0.1982648, -78.5038494 -0.1982728, -78.5038397 -0.1982198, -78.503766 -0.1981795, -78.5037123 -0.1981702, -78.5036828 -0.1981111, -78.5036547 -0.1980039, -78.5036372 -0.1979274, -78.5036667 -0.1978939, -78.5036574 -0.197863, -78.5035796 -0.1978657, -78.5035072 -0.1978805, -78.5034844 -0.1978617, -78.5034388 -0.1977692, -78.503365 -0.1977504, -78.5032872 -0.1977853, -78.5033087 -0.1978322)",ruta_1,
"LINESTRING (-78.5039943 -0.1982648, -78.5038773 -0.1982546, -78.5038625 -0.1981782, -78.5038786 -0.19815, -78.5040342 -0.1981246, -78.5042287 -0.198091, -78.5043413 -0.1980723, -78.5044419 -0.1980508, -78.5045291 -0.1980119, -78.504513 -0.1979221, -78.5044835 -0.1977839, -78.5043601 -0.1976444, -78.5042997 -0.1975412, -78.5041871 -0.1974674, -78.5040543 -0.1974714, -78.5038277 -0.1975211, -78.5036144 -0.1975707, -78.5034294 -0.1976216, -78.5033905 -0.1976552, -78.5034227 -0.1977236, -78.5033677 -0.1977745, -78.5033087 -0.1978322)",ruta_2,
"LINESTRING (-78.5039943 -0.1982648, -78.503846 -0.1982827, -78.50385 -0.1984128, -78.503854 -0.1985428, -78.5037642 -0.1986059, -78.5036837 -0.1986783, -78.503618 -0.1987105, -78.5036054 -0.1987208, -78.503563 -0.1986837, -78.5035249 -0.1986403, -78.5034678 -0.1986059, -78.5033452 -0.1985518, -78.503323 -0.1985294, -78.5032921 -0.1984476, -78.503276 -0.198406, -78.5032009 -0.1982357, -78.50315 -0.1981311, -78.5031017 -0.1980238, -78.5030521 -0.1979286, -78.5031057 -0.1979072, -78.5031526 -0.197875, -78.5031513 -0.1978401, -78.5032626 -0.1977945, -78.5032872 -0.1977853, -78.5033087 -0.1978322)",ruta_3,
"LINESTRING (-78.5039943 -0.1982648, -78.5038293 -0.1982674, -78.5038536 -0.198454, -78.5038644 -0.1985773, -78.5038805 -0.1987115, -78.5039019 -0.198918, -78.5039062 -0.1990267, -78.5038322 -0.1989475, -78.5037544 -0.1988885, -78.5036578 -0.1987946, -78.5036054 -0.1987208, -78.5035249 -0.1986403, -78.5034164 -0.19858, -78.5033452 -0.1985518, -78.5033023 -0.1984955, -78.5032609 -0.1983842, -78.5031723 -0.1981482, -78.5030785 -0.1979899, -78.5030521 -0.1979286, -78.5031321 -0.1978853, -78.503167 -0.1978156, -78.5032796 -0.1977673, -78.5033087 -0.1978322)",ruta_4,
