WKT,Nombre,Descripción
"LINESTRING (-78.5040454 -0.1981759, -78.5039136 -0.1982135, -78.5038492 -0.198235, -78.5038304 -0.1982886, -78.5038358 -0.1984817, -78.5037768 -0.198589, -78.5036121 -0.1987088, -78.5035102 -0.1986337, -78.5032702 -0.1985166, -78.5030928 -0.1986105)",ruta_1,
"LINESTRING (-78.5040454 -0.1981759, -78.5038492 -0.198235, -78.5038118 -0.1981857, -78.5037178 -0.1978595, -78.5036185 -0.1977951, -78.5034612 -0.1978608, -78.5033691 -0.1976315, -78.5031008 -0.1976932, -78.5027039 -0.1978085, -78.5024196 -0.198007, -78.502551 -0.1982779, -78.5027441 -0.1986722, -78.5028031 -0.1987741, -78.5030928 -0.1986105)",ruta_2,
"LINESTRING (-78.5040454 -0.1981759, -78.5038492 -0.198235, -78.5038358 -0.1984817, -78.5038559 -0.1987644, -78.5038747 -0.198995, -78.5039239 -0.1990712, -78.5039069 -0.1991238, -78.5033543 -0.1992445, -78.5032551 -0.1991479, -78.5030646 -0.1990728, -78.5029815 -0.1990567, -78.5028501 -0.1988502, -78.5028031 -0.1987741, -78.5030928 -0.1986105)",ruta_3,
"LINESTRING (-78.5040454 -0.1981759, -78.5038201 -0.198251, -78.5038118 -0.1981857, -78.5044941 -0.198002, -78.5044244 -0.1976989, -78.5042409 -0.1975018, -78.5041444 -0.1974106, -78.5037233 -0.1975125, -78.5032217 -0.197652, -78.5027039 -0.1978085, -78.5024196 -0.198007, -78.5025243 -0.1982313, -78.502704 -0.1985827, -78.5028031 -0.1987741, -78.5030928 -0.1986105)",ruta_4,
