WKT,name,description
"LINESTRING (-78.5039943 -0.1982648, -78.5038293 -0.1982674, -78.5038468 -0.1984338, -78.503836 -0.198525, -78.5037878 -0.1986001, -78.5036054 -0.1987208, -78.5035249 -0.1986403, -78.5033452 -0.1985518, -78.5033023 -0.1984955, -78.5031628 -0.1985652, -78.5032245 -0.1986725, -78.5033076 -0.1988066, -78.5033103 -0.1988522, -78.5030931 -0.1989649, -78.5030723 -0.1989241, -78.503132 -0.1988995)",ruta_1,
"LINESTRING (-78.5039943 -0.1982648, -78.5038106 -0.1982306, -78.5037221 -0.198177, -78.5036712 -0.1981126, -78.5036417 -0.197949, -78.5036396 -0.1978615, -78.5035886 -0.1978373, -78.5035162 -0.1978803, -78.5034787 -0.1978293, -78.5034223 -0.1977086, -78.5033848 -0.1976308, -78.5030093 -0.197714, -78.5027652 -0.197773, -78.5026418 -0.197832, -78.5024245 -0.1979688, -78.5025694 -0.198237, -78.5027713 -0.1986527, -78.5028491 -0.198827, -78.5029483 -0.198988, -78.503132 -0.1988995)",ruta_2,
"LINESTRING (-78.5039943 -0.1982648, -78.5038461 -0.1982022, -78.503827 -0.1981495, -78.5038991 -0.1981397, -78.5041754 -0.1980915, -78.5044517 -0.1980378, -78.5045187 -0.1980003, -78.5044892 -0.1977964, -78.5043444 -0.1975979, -78.5042183 -0.1974907, -78.504162 -0.1974263, -78.5033848 -0.1976308, -78.5027652 -0.197773, -78.5024245 -0.1979688, -78.5026573 -0.1984305, -78.5028075 -0.1987417, -78.5029268 -0.1989625, -78.503132 -0.1988995)",ruta_3,
"LINESTRING (-78.5039943 -0.1982648, -78.5038293 -0.1982674, -78.5038468 -0.1984338, -78.503836 -0.198525, -78.5038985 -0.1988496, -78.5039223 -0.1990057, -78.503925 -0.1991184, -78.5036943 -0.1991586, -78.5034636 -0.1992257, -78.5033912 -0.1992418, -78.5032383 -0.1991291, -78.5031203 -0.199046, -78.5030444 -0.1989446, -78.503132 -0.1988995)",ruta_4,
"LINESTRING (-78.5039943 -0.1982648, -78.5038494 -0.1982728, -78.503836 -0.198525, -78.5038928 -0.198796, -78.503921 -0.1989824, -78.5039062 -0.1990267, -78.5037721 -0.1989006, -78.5036796 -0.1988188, -78.5036165 -0.1987679, -78.5036054 -0.1987208, -78.5035249 -0.1986403, -78.5033452 -0.1985518, -78.5033023 -0.1984955, -78.5031628 -0.1985652, -78.5032772 -0.198733, -78.5033269 -0.198851, -78.5031579 -0.1989301, -78.5030931 -0.1989649, -78.5030444 -0.1989446, -78.503132 -0.1988995)",ruta_5,
