WKT,Nombre,Descripción
"LINESTRING (-78.503985 -0.1981831, -78.5038401 -0.1982153, -78.5038669 -0.1983843, -78.5038509 -0.198505, -78.5037543 -0.1986123, -78.5036121 -0.1987088, -78.5035478 -0.1986766, -78.5035102 -0.1986337, -78.5033976 -0.1985801, -78.5032956 -0.1985318, -78.5032366 -0.1984487, -78.5031884 -0.1983119, -78.5031428 -0.1981912, -78.5030569 -0.1980222, -78.5029925 -0.1979256, -78.5031052 -0.1978774, -78.5031347 -0.1979256)",ruta_1,
"LINESTRING (-78.503985 -0.1981831, -78.5038401 -0.1982153, -78.5037991 -0.1981371, -78.5037401 -0.1979869, -78.5036864 -0.1978474, -78.5036623 -0.1977911, -78.5035765 -0.1978099, -78.503488 -0.1978367, -78.5034397 -0.1978018, -78.5033646 -0.1977857, -78.5032895 -0.1978206, -78.5031956 -0.1978662, -78.5031232 -0.197893, -78.5031347 -0.1979256)",ruta_2,
"LINESTRING (-78.503985 -0.1981831, -78.5038327 -0.1982236, -78.5038126 -0.1983416, -78.5038206 -0.1985026, -78.5037388 -0.1986045, -78.5036047 -0.1986957, -78.5035122 -0.198646, -78.5033687 -0.1985616, -78.5032909 -0.1985133, -78.5033499 -0.1984905, -78.5034424 -0.1984328, -78.5034639 -0.1984181, -78.5034062 -0.1982826, -78.5033593 -0.198182, -78.503307 -0.1980721, -78.5032708 -0.1980023, -78.503256 -0.1979755, -78.5031984 -0.198009, -78.5031347 -0.1979256)",ruta_3,
"LINESTRING (-78.503985 -0.1981831, -78.5038611 -0.1982005, -78.5038557 -0.1981495, -78.5044941 -0.198002, -78.5044244 -0.1976989, -78.5041374 -0.1973905, -78.5036707 -0.1975246, -78.5032817 -0.1976238, -78.5029867 -0.1977016, -78.5030725 -0.1978143, -78.5031347 -0.1979256)",ruta_4,
