WKT,Nombre,Descripción
"LINESTRING (-78.5040132 -0.1981818, -78.5039136 -0.1982135, -78.5038201 -0.198251, -78.5037906 -0.1981684, -78.5037075 -0.1979378, -78.5036941 -0.1978922, -78.5038523 -0.1978466, -78.5038791 -0.1979136)",ruta_1,
"LINESTRING (-78.5040132 -0.1981818, -78.5038201 -0.198251, -78.5037906 -0.1981684, -78.5041447 -0.1980746, -78.5044941 -0.198002, -78.504437 -0.1977607, -78.5043297 -0.19764, -78.5042546 -0.1977688, -78.5040025 -0.1978412, -78.5038791 -0.1979136)",ruta_2,
"LINESTRING (-78.5040132 -0.1981818, -78.5038201 -0.198251, -78.5038358 -0.1984817, -78.5037768 -0.198589, -78.5036121 -0.1987088, -78.5035102 -0.1986337, -78.5032702 -0.1985166, -78.503045 -0.1980423, -78.5029141 -0.1977287, -78.5032217 -0.197652, -78.5035895 -0.1975595, -78.5036941 -0.1978922, -78.5038523 -0.1978466, -78.5038791 -0.1979136)",ruta_3,
"LINESTRING (-78.5040132 -0.1981818, -78.5038201 -0.198251, -78.5037906 -0.1981684, -78.5044941 -0.198002, -78.504437 -0.1977607, -78.5042922 -0.1975488, -78.5041768 -0.1974603, -78.5040561 -0.1974495, -78.5038469 -0.1975005, -78.5037664 -0.197522, -78.5038791 -0.1979136)",ruta_4,
