WKT,Nombre,Descripción
"LINESTRING (-78.5040454 -0.1981759, -78.5039136 -0.1982135, -78.5038201 -0.198251, -78.5038281 -0.1985193, -78.5037289 -0.1986373, -78.5035948 -0.1987183, -78.5035102 -0.1986337, -78.5032909 -0.1985133, -78.5031786 -0.1985559, -78.5030418 -0.198623, -78.5030096 -0.1985291)",ruta_1,
"LINESTRING (-78.5040454 -0.1981759, -78.5038201 -0.198251, -78.5037908 -0.1980358, -78.5037482 -0.197836, -78.5036399 -0.1978156, -78.5035085 -0.1978719, -78.5034397 -0.1978018, -78.5032268 -0.1978877, -78.5031222 -0.1976869, -78.5027869 -0.1977727, -78.5024302 -0.1979846, -78.5027923 -0.1987517, -78.5030418 -0.198623, -78.5030096 -0.1985291)",ruta_2,
"LINESTRING (-78.5040454 -0.1981759, -78.5038201 -0.198251, -78.5037908 -0.1980358, -78.5037482 -0.197836, -78.5036399 -0.1978156, -78.5035085 -0.1978719, -78.5034397 -0.1978018, -78.5032268 -0.1978877, -78.5032724 -0.1979816, -78.5032805 -0.1980272, -78.503451 -0.1984137, -78.5030418 -0.198623, -78.5030096 -0.1985291)",ruta_3,
"LINESTRING (-78.5040454 -0.1981759, -78.5038201 -0.198251, -78.5038281 -0.1985193, -78.5038869 -0.1990177, -78.5039239 -0.1990712, -78.5039069 -0.1991238, -78.5038038 -0.1991411, -78.5033543 -0.1992445, -78.5032378 -0.1991303, -78.5030688 -0.1990982, -78.502983 -0.1990767, -78.5029374 -0.1989748, -78.5030849 -0.1989024, -78.5029669 -0.1986717, -78.5030418 -0.198623, -78.5030096 -0.1985291)",ruta_4,
