WKT,Nombre,Descripción
"LINESTRING (-78.5040454 -0.1981759, -78.5038201 -0.198251, -78.5038281 -0.1985193, -78.5037289 -0.1986373, -78.5036121 -0.1987088, -78.5034848 -0.1986239, -78.5032702 -0.1985166, -78.5034639 -0.1984181)",ruta_1,
"LINESTRING (-78.5040454 -0.1981759, -78.5038201 -0.198251, -78.5037991 -0.1981371, -78.5037817 -0.1980643, -78.5037536 -0.1980049, -78.5037321 -0.1979138, -78.5037214 -0.197844, -78.5036275 -0.1978655, -78.5035926 -0.1978038, -78.5034424 -0.197844, -78.5033459 -0.1976187, -78.5029141 -0.1977287, -78.5030643 -0.198064, -78.5031715 -0.1982759, -78.5032909 -0.1985133, -78.5034639 -0.1984181)",ruta_2,
"LINESTRING (-78.5040454 -0.1981759, -78.5038201 -0.198251, -78.5038281 -0.1985193, -78.503881 -0.1987707, -78.5039239 -0.1990712, -78.5036121 -0.1987088, -78.5034848 -0.1986239, -78.5032702 -0.1985166, -78.5034639 -0.1984181)",ruta_3,
"LINESTRING (-78.5040454 -0.1981759, -78.5038201 -0.198251, -78.5037991 -0.1981371, -78.5037724 -0.1979861, -78.5037482 -0.197836, -78.5036275 -0.1978655, -78.5035054 -0.1979071, -78.5036771 -0.1982906, -78.5037361 -0.1983872, -78.5037201 -0.1984703, -78.5035618 -0.1985508, -78.5034639 -0.1984181)",ruta_4,
